path,file_name,name,type,section,country_or_region,country_or_region_name,misc_category,width,height,size_bytes,raw_url,github_url
misc/basketball/phoenix-suns.png,phoenix-suns.png,phoenix-suns,misc,misc,,,basketball,500,500,73665,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/phoenix-suns.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/phoenix-suns.png
misc/basketball/portland-trail-blazers.png,portland-trail-blazers.png,portland-trail-blazers,misc,misc,,,basketball,500,500,74072,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/portland-trail-blazers.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/portland-trail-blazers.png
misc/basketball/sacramento-kings.png,sacramento-kings.png,sacramento-kings,misc,misc,,,basketball,500,500,48274,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/sacramento-kings.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/sacramento-kings.png
misc/basketball/san-antonio-spurs.png,san-antonio-spurs.png,san-antonio-spurs,misc,misc,,,basketball,500,500,37144,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/san-antonio-spurs.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/san-antonio-spurs.png
misc/basketball/toronto-raptors.png,toronto-raptors.png,toronto-raptors,misc,misc,,,basketball,500,500,61603,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/toronto-raptors.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/toronto-raptors.png
misc/basketball/utah-jazz.png,utah-jazz.png,utah-jazz,misc,misc,,,basketball,500,500,34315,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/utah-jazz.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/utah-jazz.png
misc/basketball/washington-wizards.png,washington-wizards.png,washington-wizards,misc,misc,,,basketball,500,500,88254,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/basketball/washington-wizards.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/basketball/washington-wizards.png
misc/custom/ncaa-4k-us-custom.png,ncaa-4k-us-custom.png,ncaa-4k-us-custom,misc,misc,,,custom,500,500,33167,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/custom/ncaa-4k-us-custom.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/custom/ncaa-4k-us-custom.png
misc/custom/ncaa-basketball-4k-us-custom.png,ncaa-basketball-4k-us-custom.png,ncaa-basketball-4k-us-custom,misc,misc,,,custom,500,500,39851,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/custom/ncaa-basketball-4k-us-custom.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/custom/ncaa-basketball-4k-us-custom.png
misc/custom/ncaa-basketball-us-custom.png,ncaa-basketball-us-custom.png,ncaa-basketball-us-custom,misc,misc,,,custom,500,500,35681,https://raw.githubusercontent.com/ArcticMunkee/Remote3-TV-Logo-Project/main/misc/custom/ncaa-basketball-us-custom.png,https://github.com/ArcticMunkee/Remote3-TV-Logo-Project/blob/main/misc/custom/ncaa-basketball-us-custom.png
